rdkit_index,atom_name,element,formal_charge,rfd3_rasa
0,O17,O,0,exposed
1,C24,C,0,exposed
2,N44,N,0,exposed
3,C46,C,0,exposed
4,C45,C,0,exposed
5,O21,O,0,exposed
6,C32,C,0,buried
7,C26,C,0,buried
8,C28,C,0,buried
9,C34,C,0,buried
10,C40,C,0,buried
11,C35,C,0,buried
12,C29,C,0,buried
13,C37,C,0,buried
14,C41,C,0,buried
15,O18,O,0,buried
16,C36,C,0,buried
17,C25,C,0,buried
18,O22,O,0,buried
19,C42,C,0,buried
20,C38,C,0,buried
21,C31,C,0,buried
22,O20,O,-1,buried
23,C30,C,0,buried
24,C39,C,0,buried
25,C43,C,0,buried
26,C33,C,0,buried
27,C23,C,0,buried
28,O16,O,0,buried
29,O19,O,-1,buried
30,C27,C,0,buried
