batch,job,campaign,engine,kind,scaffold,helix,manifest_state,audited_state,optimized,starts,expected
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_boltz_06751263,Boltz-2,minibinder,,1,completed,completed,250,50,250
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_protenix_constraint_v0_5_06751263,Protenix Constraint v0.5 — Experimental,minibinder,,1,completed,completed,250,50,250
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_protenix_v2_06751263,Protenix v2,minibinder,,1,completed,completed,250,50,250
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_protenix_mini_06751263,Protenix Mini,minibinder,,1,completed,completed,250,50,250
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_intellifold_06751263,IntelliFold v2 Flash,minibinder,,1,completed,completed,250,50,250
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_intellifold_full_06751263,IntelliFold v2 Full,minibinder,,1,completed,completed,250,50,250
engine-batch-9b22095d-7d6e-4377-b712-002106751263,job-2cde615cf637,untitled_design_openfold3_06751263,OpenFold-3,minibinder,,1,failed,failed_before_inference,0,0,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_boltz_6ed978fa,Boltz-2,minibinder,7xl0_vobarilizumab,0,completed,completed,250,50,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_protenix_constraint_v0_5_6ed978fa,Protenix Constraint v0.5 — Experimental,minibinder,7xl0_vobarilizumab,0,completed,completed,250,50,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_protenix_v2_6ed978fa,Protenix v2,minibinder,7xl0_vobarilizumab,0,completed,completed,250,50,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_protenix_mini_6ed978fa,Protenix Mini,minibinder,7xl0_vobarilizumab,0,completed,completed,250,50,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_intellifold_6ed978fa,IntelliFold v2 Flash,minibinder,7xl0_vobarilizumab,0,completed,completed,250,50,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_intellifold_full_6ed978fa,IntelliFold v2 Full,minibinder,7xl0_vobarilizumab,0,completed,completed,250,50,250
engine-batch-fedb3004-f3ed-4137-b6c3-884d6ed978fa,job-4d54e18d450b,untitled_design_openfold3_6ed978fa,OpenFold-3,minibinder,7xl0_vobarilizumab,0,failed,failed_before_inference,0,0,250
engine-batch-d5146abc-6264-4c16-9c86-c287f45742c3,job-aea5a49375d2,untitled_design_boltz_7xl0_vobarilizumab_f45742c3,Boltz-2 · Vobarilizumab VHH,nanobody,7xl0_vobarilizumab,,completed,completed,35,7,35
engine-batch-d5146abc-6264-4c16-9c86-c287f45742c3,job-aea5a49375d2,untitled_design_boltz_7eow_caplacizumab_f45742c3,Boltz-2 · Caplacizumab VHH,nanobody,7eow_caplacizumab,,completed,completed,35,7,35
engine-batch-d5146abc-6264-4c16-9c86-c287f45742c3,job-aea5a49375d2,untitled_design_boltz_8coh_gefurulimab_f45742c3,Boltz-2 · TPP-3444 / Gefurulimab VHH,nanobody,8coh_gefurulimab,,completed,completed,30,6,30
engine-batch-d5146abc-6264-4c16-9c86-c287f45742c3,job-aea5a49375d2,untitled_design_boltz_8z8v_ozoralizumab_alb8_f45742c3,Boltz-2 · Ozoralizumab ALB8 VHH,nanobody,8z8v_ozoralizumab_alb8,,completed,completed,30,6,30
engine-batch-d5146abc-6264-4c16-9c86-c287f45742c3,job-aea5a49375d2,untitled_design_boltz_gontivimab_f45742c3,Boltz-2 · Gontivimab VHH,nanobody,gontivimab,,completed,completed,30,6,30
