cycle,trajectory,policy,mean_proposals,exact_best,within_001,no_passing
1,0,fixed16,16.0,0.229,0.229,0.0
1,0,fixed32,32.0,0.4955,0.4955,0.0
1,0,adaptive16,64.0,1.0,1.0,0.0
1,0,adaptive32,64.0,1.0,1.0,0.0
1,0,fixed64,64.0,1.0,1.0,0.0
1,1,fixed16,16.0,0.2395,0.4375,0.0
1,1,fixed32,32.0,0.4865,0.7485,0.0
1,1,adaptive16,16.024,0.2405,0.4385,0.0
1,1,adaptive32,32.0,0.4865,0.7485,0.0
1,1,fixed64,64.0,1.0,1.0,0.0
1,2,fixed16,16.0,0.247,0.247,0.0
1,2,fixed32,32.0,0.501,0.501,0.0
1,2,adaptive16,44.016,1.0,1.0,0.0
1,2,adaptive32,47.968,1.0,1.0,0.0
1,2,fixed64,64.0,1.0,1.0,0.0
1,3,fixed16,16.0,0.2195,0.2195,0.0
1,3,fixed32,32.0,0.4875,0.4875,0.0
1,3,adaptive16,64.0,1.0,1.0,0.0
1,3,adaptive32,64.0,1.0,1.0,0.0
1,3,fixed64,64.0,1.0,1.0,0.0
1,4,fixed16,16.0,0.2545,0.2545,0.0005
1,4,fixed32,32.0,0.5035,0.5035,0.0
1,4,adaptive16,20.416,0.359,0.359,0.0
1,4,adaptive32,32.752,0.527,0.527,0.0
1,4,fixed64,64.0,1.0,1.0,0.0
1,5,fixed16,16.0,0.2425,0.2425,0.0
1,5,fixed32,32.0,0.5045,0.5045,0.0
1,5,adaptive16,16.0,0.2425,0.2425,0.0
1,5,adaptive32,32.0,0.5045,0.5045,0.0
1,5,fixed64,64.0,1.0,1.0,0.0
2,0,fixed16,16.0,0.258,0.258,0.0
2,0,fixed32,32.0,0.5115,0.5115,0.0
2,0,adaptive16,64.0,1.0,1.0,0.0
2,0,adaptive32,64.0,1.0,1.0,0.0
2,0,fixed64,64.0,1.0,1.0,0.0
2,1,fixed16,16.0,0.258,0.4425,0.0
2,1,fixed32,32.0,0.5055,0.743,0.0
2,1,adaptive16,64.0,1.0,1.0,0.0
2,1,adaptive32,64.0,1.0,1.0,0.0
2,1,fixed64,64.0,1.0,1.0,0.0
2,2,fixed16,16.0,0.2415,0.2415,0.0005
2,2,fixed32,32.0,0.493,0.493,0.0
2,2,adaptive16,32.504,0.6645,0.6645,0.0
2,2,adaptive32,39.744,0.735,0.735,0.0
2,2,fixed64,64.0,1.0,1.0,0.0
2,3,fixed16,16.0,0.255,0.255,0.0
2,3,fixed32,32.0,0.515,0.515,0.0
2,3,adaptive16,43.44,1.0,1.0,0.0
2,3,adaptive32,47.52,1.0,1.0,0.0
2,3,fixed64,64.0,1.0,1.0,0.0
2,4,fixed16,16.0,0.26,0.26,0.0005
2,4,fixed32,32.0,0.5115,0.5115,0.0
2,4,adaptive16,22.68,0.4235,0.4235,0.0
2,4,adaptive32,33.632,0.5625,0.5625,0.0
2,4,fixed64,64.0,1.0,1.0,0.0
2,5,fixed16,16.0,0.239,0.239,0.0
2,5,fixed32,32.0,0.4775,0.4775,0.0
2,5,adaptive16,44.896,1.0,1.0,0.0
2,5,adaptive32,48.72,1.0,1.0,0.0
2,5,fixed64,64.0,1.0,1.0,0.0
3,0,fixed16,16.0,0.2455,0.2455,0.0025
3,0,fixed32,32.0,0.4955,0.4955,0.0
3,0,adaptive16,64.0,1.0,1.0,0.0
3,0,adaptive32,64.0,1.0,1.0,0.0
3,0,fixed64,64.0,1.0,1.0,0.0
3,1,fixed16,16.0,0.255,0.255,0.0
3,1,fixed32,32.0,0.5155,0.5155,0.0
3,1,adaptive16,16.824,0.2775,0.2775,0.0
3,1,adaptive32,32.048,0.517,0.517,0.0
3,1,fixed64,64.0,1.0,1.0,0.0
3,2,fixed16,16.0,0.237,0.237,0.763
3,2,fixed32,32.0,0.478,0.478,0.522
3,2,adaptive16,64.0,1.0,1.0,0.0
3,2,adaptive32,64.0,1.0,1.0,0.0
3,2,fixed64,64.0,1.0,1.0,0.0
3,3,fixed16,16.0,0.247,0.4325,0.0025
3,3,fixed32,32.0,0.5005,0.7525,0.0
3,3,adaptive16,64.0,1.0,1.0,0.0
3,3,adaptive32,64.0,1.0,1.0,0.0
3,3,fixed64,64.0,1.0,1.0,0.0
3,4,fixed16,16.0,0.2815,0.456,0.0
3,4,fixed32,32.0,0.53,0.7815,0.0
3,4,adaptive16,16.12,0.284,0.4615,0.0
3,4,adaptive32,32.0,0.53,0.7815,0.0
3,4,fixed64,64.0,1.0,1.0,0.0
3,5,fixed16,16.0,0.252,0.439,0.0005
3,5,fixed32,32.0,0.489,0.745,0.0
3,5,adaptive16,64.0,1.0,1.0,0.0
3,5,adaptive32,64.0,1.0,1.0,0.0
3,5,fixed64,64.0,1.0,1.0,0.0
4,0,fixed16,16.0,0.2595,0.2595,0.0
4,0,fixed32,32.0,0.4965,0.4965,0.0
4,0,adaptive16,43.96,1.0,1.0,0.0
4,0,adaptive32,48.112,1.0,1.0,0.0
4,0,fixed64,64.0,1.0,1.0,0.0
4,1,fixed16,16.0,0.244,0.244,0.0
4,1,fixed32,32.0,0.495,0.495,0.0
4,1,adaptive16,64.0,1.0,1.0,0.0
4,1,adaptive32,64.0,1.0,1.0,0.0
4,1,fixed64,64.0,1.0,1.0,0.0
4,2,fixed16,16.0,0.26,0.26,0.1035
4,2,fixed32,32.0,0.5095,0.5095,0.0045
4,2,adaptive16,64.0,1.0,1.0,0.0
4,2,adaptive32,64.0,1.0,1.0,0.0
4,2,fixed64,64.0,1.0,1.0,0.0
4,3,fixed16,16.0,0.2465,0.2465,0.1605
4,3,fixed32,32.0,0.511,0.511,0.0095
4,3,adaptive16,64.0,1.0,1.0,0.0
4,3,adaptive32,64.0,1.0,1.0,0.0
4,3,fixed64,64.0,1.0,1.0,0.0
4,4,fixed16,16.0,0.2495,0.438,0.0
4,4,fixed32,32.0,0.4875,0.7395,0.0
4,4,adaptive16,64.0,1.0,1.0,0.0
4,4,adaptive32,64.0,1.0,1.0,0.0
4,4,fixed64,64.0,1.0,1.0,0.0
4,5,fixed16,16.0,0.2545,0.2545,0.0
4,5,fixed32,32.0,0.509,0.509,0.0
